School,Close Contact,Positive Case,Suspected Case,Total
Annistown ES,1,0,0,1
Arcado ES,3,1,0,4
Bay Creek MS,1,0,0,1
Beaver Ridge ES,1,0,0,1
Berkmar HS,1,1,0,2
Berkmar MS,2,0,0,2
Britt ES,2,0,0,2
Camp Creek ES,26,1,0,27
Centerville ES,3,0,1,4
Chesney ES,1,0,0,1
Coleman MS,1,0,0,1
Creekland MS,0,0,1,1
Discovery HS,1,0,0,1
Duluth HS,5,1,0,6
Duncan Creek ES,1,0,0,1
Grayson HS,2,0,0,2
Hopkins ES,0,0,1,1
International Transition Center,5,0,1,6
Lilburn MS,0,0,3,3
Lovin ES,1,0,0,1
Magill ES,2,1,0,3
McClure Health Science HS,2,0,0,2
Meadowcreek HS,2,0,0,2
Mill Creek HS,3,0,0,3
Mountain View HS,19,0,2,21
Nesbit ES,0,0,1,1
Norcross HS,0,1,0,1
Northbrook MS,0,1,0,1
Oakland Meadow School,0,1,0,1
Parkview HS,1,1,1,3
Parsons ES,1,0,0,1
Peachtree ES,4,0,2,6
Peachtree Ridge HS,4,0,0,4
Pharr ES,1,0,0,1
Richards MS,2,2,1,5
Rosebud ES,1,0,0,1
Shiloh MS,1,0,0,1
Snellville MS,1,0,0,1
South Gwinnett HS,1,0,0,1
Starling ES,2,1,0,3
Sugar Hill ES,1,0,1,2
Winn Holt ES,5,1,0,6
