School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,0,0,1
Archer HS,1,0,0,1
Benefield ES,1,0,0,1
Bethesda ES,7,0,3,10
Britt ES,0,0,2,2
Brookwood ES,11,1,2,14
Burnette ES,2,0,0,2
Cedar Hill ES,1,0,1,2
Dacula ES,0,0,1,1
Dacula HS,4,0,0,4
Discovery HS,1,0,0,1
Duluth MS,0,0,1,1
Duncan Creek ES,3,1,0,4
Dyer ES,0,0,1,1
Harris ES,1,1,0,2
Head ES,0,0,1,1
International Transition Center,1,0,0,1
Jackson ES,1,0,0,1
Jones MS,1,0,1,2
Jordan MS,0,0,1,1
Knight ES,11,0,3,14
Lilburn MS,5,1,0,6
McClure Health Science HS,2,0,0,2
McConnell MS,2,0,0,2
Meadowcreek HS,3,0,1,4
Mill Creek HS,1,1,0,2
Minor ES,10,1,0,11
Nesbit ES,1,0,0,1
Norcross HS,1,0,0,1
North Gwinnett HS,18,1,0,19
Norton ES,0,1,0,1
Peachtree Ridge HS,8,0,2,10
Pharr ES,6,0,1,7
Pinckneyville MS,5,0,2,7
Shiloh ES,0,0,1,1
Summerour MS,0,0,1,1
Taylor ES,1,0,0,1
Winn Holt ES,2,0,1,3
Woodward Mill ES,2,0,0,2
